,carat,cut,table,price,x,y,z
0,0.23,0,55.0,326,3.95,3.98,2.43
1,0.21,1,61.0,326,3.89,3.84,2.31
2,0.23,2,65.0,327,4.05,4.07,2.31
3,0.29,1,58.0,334,4.2,4.23,2.63
4,0.31,2,58.0,335,4.34,4.35,2.75
5,0.24,3,57.0,336,3.94,3.96,2.48
6,0.24,3,57.0,336,3.95,3.98,2.47
7,0.26,3,55.0,337,4.07,4.11,2.53
8,0.22,4,61.0,337,3.87,3.78,2.49
9,0.23,3,61.0,338,4.0,4.05,2.39
10,0.3,2,55.0,339,4.25,4.28,2.73
11,0.23,0,56.0,340,3.93,3.9,2.46
12,0.22,1,61.0,342,3.88,3.84,2.33
13,0.31,0,54.0,344,4.35,4.37,2.71
14,0.2,1,62.0,345,3.79,3.75,2.27
15,0.32,1,58.0,345,4.38,4.42,2.68
16,0.3,0,54.0,348,4.31,4.34,2.68
17,0.3,2,54.0,351,4.23,4.29,2.7
18,0.3,2,56.0,351,4.23,4.26,2.71
19,0.3,3,59.0,351,4.21,4.27,2.66
20,0.3,2,56.0,351,4.26,4.3,2.71
21,0.23,3,55.0,352,3.85,3.92,2.48
22,0.23,3,57.0,353,3.94,3.96,2.41
23,0.31,3,62.0,353,4.39,4.43,2.62
24,0.31,3,62.0,353,4.44,4.47,2.59
25,0.23,3,58.0,354,3.97,4.01,2.41
26,0.24,1,57.0,355,3.97,3.94,2.47
27,0.3,3,57.0,357,4.28,4.3,2.67
28,0.23,3,61.0,357,3.96,3.97,2.4
29,0.23,3,57.0,357,3.96,3.99,2.42
30,0.23,3,57.0,402,4.0,4.03,2.41
31,0.23,3,57.0,402,4.04,4.06,2.42
32,0.23,3,59.0,402,3.97,4.01,2.42
33,0.23,3,58.0,402,4.01,4.06,2.4
34,0.23,3,58.0,402,3.92,3.96,2.44
35,0.23,2,59.0,402,4.06,4.08,2.37
36,0.23,2,59.0,402,3.83,3.85,2.46
37,0.31,2,54.0,402,4.29,4.31,2.75
38,0.26,3,59.0,403,4.13,4.16,2.52
39,0.33,0,55.0,403,4.49,4.51,2.78
40,0.33,0,56.0,403,4.49,4.5,2.75
41,0.33,0,56.0,403,4.49,4.55,2.76
42,0.26,2,56.0,403,3.99,4.02,2.61
43,0.26,2,63.0,403,4.19,4.24,2.46
44,0.32,2,56.0,403,4.34,4.37,2.75
45,0.29,1,58.0,403,4.24,4.26,2.65
46,0.32,3,55.0,403,4.35,4.42,2.71
47,0.32,2,56.0,403,4.36,4.38,2.79
48,0.25,3,60.0,404,4.0,4.03,2.54
49,0.29,3,60.0,404,4.33,4.37,2.64
50,0.24,3,61.0,404,4.02,4.03,2.45
51,0.23,0,54.0,404,3.93,3.95,2.44
52,0.32,0,55.0,404,4.45,4.48,2.72
53,0.22,1,58.0,404,3.93,3.89,2.41
54,0.22,1,62.0,404,3.91,3.88,2.31
55,0.3,0,59.0,405,4.3,4.33,2.63
56,0.3,1,61.0,405,4.43,4.38,2.61
57,0.3,3,57.0,405,4.25,4.28,2.67
58,0.3,3,57.0,405,4.28,4.32,2.71
59,0.3,2,55.0,405,4.25,4.29,2.7
60,0.35,0,57.0,552,4.54,4.59,2.78
61,0.3,1,59.0,552,4.23,4.27,2.66
62,0.3,0,57.0,552,4.29,4.32,2.69
63,0.3,0,56.0,552,4.3,4.33,2.68
64,0.42,1,59.0,552,4.78,4.84,2.96
65,0.28,0,56.0,553,4.19,4.22,2.58
66,0.32,0,55.3,553,4.39,4.42,2.73
67,0.31,3,57.0,553,4.33,4.3,2.73
68,0.31,1,58.0,553,4.35,4.32,2.68
69,0.24,1,58.0,553,4.01,4.03,2.44
70,0.24,3,60.0,553,3.97,4.0,2.45
71,0.3,3,56.0,554,4.29,4.27,2.7
72,0.3,1,59.0,554,4.28,4.24,2.68
73,0.3,1,57.0,554,4.29,4.25,2.67
74,0.3,2,57.0,554,4.28,4.26,2.72
75,0.26,3,60.0,554,4.19,4.22,2.49
76,0.26,3,58.0,554,4.15,4.23,2.51
77,0.26,3,54.0,554,4.08,4.13,2.56
78,0.26,3,60.0,554,4.01,4.05,2.53
79,0.26,3,59.0,554,4.06,4.09,2.55
80,0.26,3,59.0,554,4.0,4.04,2.55
81,0.26,3,60.0,554,4.03,4.12,2.53
82,0.26,0,58.0,554,4.02,4.06,2.54
83,0.38,0,56.0,554,4.65,4.67,2.87
84,0.26,2,60.0,554,4.22,4.25,2.45
85,0.24,1,59.0,554,3.95,3.92,2.45
86,0.24,1,58.0,554,4.01,3.96,2.44
87,0.24,1,59.0,554,4.02,4.0,2.44
88,0.24,1,58.0,554,4.07,4.04,2.46
89,0.32,1,58.0,554,4.35,4.33,2.73
90,0.7,0,57.0,2757,5.7,5.72,3.57
91,0.86,4,69.0,2757,6.45,6.33,3.52
92,0.7,0,56.0,2757,5.7,5.67,3.5
93,0.71,3,57.0,2759,5.68,5.73,3.56
94,0.78,3,56.0,2759,5.81,5.85,3.72
95,0.7,2,58.0,2759,5.85,5.9,3.38
96,0.7,2,62.0,2759,5.71,5.76,3.4
97,0.96,4,62.0,2759,6.27,5.95,4.07
98,0.73,3,59.0,2760,5.77,5.78,3.56
99,0.8,1,58.0,2760,5.97,5.93,3.66
100,0.75,3,56.0,2760,5.8,5.75,3.65
101,0.75,1,54.0,2760,6.0,5.96,3.58
102,0.74,0,55.0,2760,5.8,5.85,3.59
103,0.75,1,58.0,2760,5.85,5.79,3.59
104,0.8,0,56.0,2760,5.94,5.87,3.72
105,0.75,0,55.0,2760,5.87,5.8,3.63
106,0.8,1,59.0,2760,5.9,5.81,3.69
107,0.74,0,55.0,2761,5.77,5.81,3.61
108,0.81,0,57.0,2761,6.14,6.11,3.6
109,0.59,0,55.0,2761,5.38,5.43,3.35
110,0.8,0,57.0,2761,5.96,6.0,3.67
111,0.74,0,56.0,2761,5.8,5.84,3.62
112,0.9,1,58.0,2761,6.16,6.12,3.87
113,0.74,3,59.0,2762,5.73,5.82,3.59
114,0.73,0,56.0,2762,5.77,5.74,3.6
115,0.73,0,53.0,2762,5.8,5.75,3.62
116,0.8,1,58.0,2762,5.98,5.94,3.68
117,0.71,0,54.0,2762,5.72,5.76,3.58
118,0.7,0,58.0,2762,5.73,5.76,3.49
119,0.8,0,59.0,2762,6.01,6.07,3.62
120,0.71,0,56.0,2762,5.73,5.69,3.56
121,0.74,0,54.0,2762,5.8,5.83,3.62
122,0.7,3,63.0,2762,5.64,5.61,3.47
123,0.7,4,57.0,2762,5.57,5.53,3.58
124,0.7,4,55.0,2762,5.63,5.58,3.66
125,0.7,1,60.0,2762,5.65,5.59,3.46
126,0.91,1,56.0,2763,6.09,5.97,3.7
127,0.61,3,57.0,2763,5.56,5.58,3.32
128,0.91,4,57.0,2763,6.11,6.09,3.93
129,0.91,4,60.0,2763,6.03,5.99,3.95
130,0.77,0,56.0,2763,5.89,5.86,3.64
131,0.71,3,58.0,2764,5.64,5.68,3.6
132,0.71,0,59.0,2764,5.69,5.72,3.53
133,0.7,3,60.0,2765,5.62,5.65,3.53
134,0.77,3,60.0,2765,5.88,5.9,3.61
135,0.63,1,60.0,2765,5.52,5.55,3.37
136,0.71,3,62.0,2765,5.74,5.77,3.46
137,0.71,1,59.0,2765,5.69,5.73,3.53
138,0.76,0,57.0,2765,5.88,5.91,3.61
139,0.64,0,56.0,2766,5.53,5.56,3.43
140,0.71,1,57.0,2766,5.78,5.75,3.51
141,0.71,1,56.0,2766,5.89,5.81,3.5
142,0.7,3,55.0,2767,5.68,5.72,3.52
143,0.7,3,57.0,2767,5.8,5.87,3.5
144,0.71,0,55.0,2767,5.74,5.76,3.54
145,0.7,2,64.0,2767,5.62,5.65,3.5
146,0.71,3,59.0,2768,5.52,5.61,3.52
147,0.73,3,56.0,2768,5.83,5.87,3.52
148,0.7,3,58.0,2768,5.66,5.73,3.48
149,0.7,0,57.0,2768,5.73,5.76,3.5
150,0.71,1,59.0,2768,5.71,5.67,3.51
151,0.74,0,56.0,2769,5.82,5.86,3.57
152,0.71,1,60.0,2770,5.65,5.61,3.52
153,0.73,1,59.0,2770,5.83,5.76,3.56
154,0.76,3,57.0,2770,5.79,5.81,3.65
155,0.76,0,57.0,2770,5.78,5.83,3.62
156,0.71,0,56.0,2770,5.77,5.8,3.51
157,0.73,1,58.0,2770,5.87,5.82,3.55
158,0.73,1,58.0,2770,5.79,5.75,3.55
159,0.73,0,57.0,2770,5.92,5.89,3.54
160,0.73,1,59.0,2770,5.92,5.87,3.49
161,0.72,3,56.0,2771,5.81,5.83,3.51
162,0.73,3,60.0,2771,5.79,5.82,3.58
163,0.71,0,57.0,2771,5.73,5.77,3.56
164,0.79,0,55.0,2771,5.97,5.92,3.68
165,0.73,3,59.0,2772,5.83,5.89,3.54
166,0.8,3,57.0,2772,6.01,6.03,3.67
167,0.58,0,55.0,2772,5.39,5.44,3.33
168,0.58,0,56.0,2772,5.33,5.37,3.3
169,0.71,2,61.0,2772,5.8,5.88,3.46
170,0.75,0,56.0,2773,5.85,5.89,3.6
